Cl,Cd
-1.2349,0.09006
-1.2386,0.08594
-1.2408,0.08211
-1.2425,0.07838
-1.2419,0.07502
-1.2407,0.0718
-1.2392,0.0687
-1.235,0.06599
-1.2313,0.06326
-1.2249,0.06089
-1.22,0.0584
-1.2124,0.05627
-1.2056,0.05409
-1.1973,0.05213
-1.1884,0.05024
-1.1796,0.04838
-1.1689,0.04677
-1.1583,0.04519
-1.1491,0.04355
-1.1379,0.04212
-1.1255,0.04079
-1.1136,0.03944
-1.1015,0.03812
-1.0879,0.03693
-1.0744,0.03573
-1.0612,0.0345
-1.0466,0.0334
-1.0323,0.03229
-1.0187,0.03113
-1.0045,0.03001
-0.9891,0.02898
-0.9735,0.02799
-0.9583,0.02701
-0.9482,0.02595
-0.9355,0.02503
-0.914,0.02428
-0.8898,0.02363
-0.8642,0.02301
-0.8373,0.02238
-0.8094,0.02184
-0.781,0.0214
-0.7522,0.021
-0.7228,0.02062
-0.693,0.02028
-0.6628,0.01996
-0.6322,0.01969
-0.6014,0.01941
-0.5704,0.01915
-0.539,0.01891
-0.5075,0.01868
-0.4759,0.01841
-0.4441,0.01815
-0.4121,0.01792
-0.3799,0.01772
-0.3476,0.01755
-0.3153,0.01744
-0.283,0.01736
-0.2503,0.01719
-0.2174,0.01701
-0.1845,0.01683
-0.1515,0.01667
-0.1185,0.01651
-0.0854,0.01636
-0.0523,0.01623
-0.0192,0.01614
0.0139,0.01603
0.047,0.01593
0.0802,0.01583
0.1135,0.01573
0.147,0.01558
0.1802,0.01549
0.2135,0.0154
0.2473,0.01521
0.2812,0.01504
0.3165,0.01465
0.3534,0.01402
0.3924,0.01305
0.4268,0.01285
0.4596,0.01294
0.4919,0.01314
0.524,0.01344
0.5564,0.01362
0.589,0.01365
0.6215,0.01371
0.6539,0.01379
0.6862,0.01389
0.7187,0.01399
0.751,0.01411
0.7832,0.01412
0.8152,0.01422
0.8472,0.01432
0.8793,0.0144
0.9113,0.01448
0.9433,0.01455
0.9753,0.01463
1.0072,0.01472
1.0387,0.01481
1.0698,0.01495
1.1015,0.01498
1.1334,0.015
