Cl,Cd
-1.137,0.13171
-1.1701,0.12094
-1.1999,0.11115
-1.2269,0.10219
-1.2501,0.09406
-1.2709,0.08653
-1.2891,0.07962
-1.305,0.0732
-1.3172,0.06756
-1.3266,0.0625
-1.3339,0.05791
-1.3392,0.05378
-1.3425,0.05009
-1.3438,0.04679
-1.3436,0.04386
-1.3411,0.0413
-1.3364,0.03911
-1.3286,0.03737
-1.3346,0.03438
-1.3336,0.03226
-1.3253,0.03089
-1.3148,0.02979
-1.3039,0.02876
-1.2926,0.02781
-1.2811,0.02689
-1.2693,0.02604
-1.2568,0.02526
-1.2435,0.02457
-1.2287,0.02407
-1.2142,0.02353
-1.2077,0.02192
-1.1906,0.02126
-1.1719,0.02071
-1.1525,0.02018
-1.1326,0.01966
-1.1122,0.01916
-1.0912,0.01873
-1.0694,0.01837
-1.0474,0.01805
-1.0339,0.01685
-1.0167,0.01616
-0.9976,0.0157
-0.978,0.01532
-0.9589,0.01494
-0.9402,0.01456
-0.9217,0.0142
-0.903,0.01389
-0.8839,0.01364
-0.8673,0.01316
-0.8369,0.01252
-0.8047,0.0121
-0.7716,0.01175
-0.7379,0.01143
-0.704,0.01114
-0.6721,0.01083
-0.6392,0.01044
-0.6049,0.01013
-0.5696,0.00984
-0.5351,0.00943
-0.5058,0.00896
-0.476,0.00856
-0.4459,0.00818
-0.4204,0.00783
-0.3938,0.0075
-0.3691,0.00717
-0.3438,0.00685
-0.3189,0.00655
-0.2932,0.00631
-0.2676,0.00607
-0.2414,0.00586
-0.2153,0.00567
-0.189,0.00549
-0.1623,0.00535
-0.1358,0.0052
-0.1091,0.00508
-0.082,0.00501
-0.0546,0.00498
-0.0271,0.00496
0.0,0.00495
0.0271,0.00496
0.0546,0.00498
0.082,0.00501
0.1092,0.00508
0.1358,0.0052
0.1623,0.00535
0.189,0.0055
0.2153,0.00566
0.2414,0.00586
0.2676,0.00607
0.2931,0.00631
0.3189,0.00655
0.3438,0.00685
0.3691,0.00717
0.3938,0.0075
0.4204,0.00783
0.446,0.00818
0.4761,0.00856
0.5058,0.00896
0.5351,0.00943
0.5697,0.00984
