Cl,Cd
-1.257,0.08953
-1.293,0.08049
-1.3299,0.07126
-1.3642,0.06235
-1.3912,0.05469
-1.4105,0.04854
-1.4222,0.04379
-1.4284,0.04
-1.4296,0.03695
-1.4277,0.03438
-1.4234,0.03214
-1.4169,0.03021
-1.4086,0.02851
-1.3987,0.02703
-1.3871,0.02578
-1.3795,0.0243
-1.3709,0.02304
-1.3586,0.02214
-1.344,0.02143
-1.327,0.02079
-1.3077,0.02022
-1.2873,0.01969
-1.2696,0.01891
-1.2489,0.01834
-1.2269,0.01787
-1.2041,0.01745
-1.1824,0.01691
-1.1604,0.01638
-1.1372,0.01597
-1.1133,0.01562
-1.0913,0.01507
-1.0682,0.01464
-1.0445,0.01429
-1.0221,0.0138
-0.9994,0.01337
-0.9771,0.01291
-0.9578,0.01217
-0.931,0.01218
-0.905,0.01211
-0.8783,0.01212
-0.8515,0.01217
-0.8195,0.01188
-0.778,0.01172
-0.7354,0.01158
-0.6885,0.01157
-0.663,0.01168
-0.6376,0.01143
-0.611,0.0112
-0.5838,0.01104
-0.5565,0.0109
-0.5287,0.01076
-0.5011,0.01064
-0.4733,0.01051
-0.4453,0.01039
-0.4174,0.01028
-0.3892,0.01016
-0.3611,0.01007
-0.3328,0.00998
-0.3048,0.00988
-0.2772,0.00975
-0.2495,0.00966
-0.222,0.00964
-0.1947,0.00967
-0.1686,0.00987
-0.1429,0.01018
-0.1157,0.01031
-0.0879,0.01036
-0.0599,0.01039
-0.0318,0.01042
-0.0034,0.01043
0.0248,0.01046
0.0533,0.01045
0.0815,0.01046
0.1097,0.01043
0.1368,0.01018
0.1649,0.01018
0.1932,0.01024
0.2218,0.01022
0.2503,0.01023
0.2787,0.01026
0.3067,0.01031
0.3351,0.01031
0.3635,0.01026
0.3912,0.01017
0.4177,0.00993
0.4439,0.00969
0.4714,0.00956
0.4994,0.00956
0.5274,0.00963
0.5551,0.00976
0.5837,0.00983
0.6119,0.0099
0.6399,0.01002
0.6678,0.01018
0.6961,0.01026
0.724,0.01039
0.7515,0.01057
0.7794,0.01068
0.8068,0.01083
0.8341,0.01101
