Cl,Cd
-1.0997,0.09446
-1.0944,0.0918
-1.0885,0.08924
-1.0812,0.08686
-1.0752,0.08431
-1.0665,0.08213
-1.0579,0.07993
-1.0504,0.07762
-1.0402,0.07565
-1.0298,0.07371
-1.0202,0.07165
-1.0098,0.06971
-0.9982,0.06791
-0.9875,0.06602
-0.9763,0.06422
-0.9641,0.06255
-0.9524,0.06082
-0.9403,0.05914
-0.926,0.05769
-0.9109,0.05634
-0.8952,0.05504
-0.8804,0.05365
-0.8644,0.05238
-0.8476,0.05123
-0.8316,0.05
-0.8155,0.04878
-0.7994,0.04754
-0.7819,0.04648
-0.7636,0.0455
-0.7456,0.04449
-0.7277,0.04345
-0.7115,0.0423
-0.6959,0.04115
-0.6795,0.04007
-0.6628,0.03903
-0.6464,0.03798
-0.63,0.03693
-0.6121,0.03603
-0.5937,0.03518
-0.5753,0.03434
-0.5571,0.03352
-0.542,0.03255
-0.5283,0.0315
-0.5125,0.0306
-0.4969,0.02969
-0.4816,0.02877
-0.4668,0.02784
-0.4509,0.02699
-0.4359,0.02611
-0.4254,0.02508
-0.428,0.02403
-0.4124,0.02316
-0.3925,0.02227
-0.3653,0.02177
-0.3372,0.02122
-0.3071,0.02078
-0.2758,0.02045
-0.2437,0.02007
-0.2103,0.01965
-0.176,0.01925
-0.1418,0.01887
-0.1074,0.01839
-0.0732,0.01813
-0.0388,0.01788
-0.0033,0.01739
0.0317,0.01713
0.0685,0.01658
0.1057,0.01604
0.1438,0.01545
0.1822,0.01487
0.221,0.01429
0.2564,0.01415
0.2924,0.01396
0.3274,0.01389
0.3623,0.01384
0.3976,0.01374
0.4318,0.01379
0.466,0.01383
0.4998,0.01391
0.5336,0.01401
0.5671,0.01415
0.6005,0.01431
0.6336,0.01452
0.6663,0.0148
0.6986,0.0152
0.732,0.0153
0.7654,0.0154
0.7984,0.01548
0.8313,0.01558
0.8642,0.01568
0.897,0.01578
0.9296,0.01591
0.9622,0.01606
0.9947,0.0162
1.0273,0.01632
1.0597,0.01645
1.0921,0.01653
1.1243,0.01654
1.156,0.01666
1.1874,0.0168
1.2186,0.01696
1.2496,0.01712
1.2802,0.01733
1.3101,0.01763
1.3401,0.01791
1.3713,0.01796
1.4022,0.01803
1.433,0.01809
1.4636,0.01816
1.4939,0.01825
1.5238,0.01836
1.5541,0.01835
1.583,0.01848
1.6109,0.01865
1.6376,0.01887
1.6628,0.01916
1.6856,0.01954
1.7072,0.01996
1.7301,0.02029
1.7441,0.02077
1.7547,0.0215
1.7698,0.02231
1.7849,0.02325
1.7995,0.02431
1.8128,0.02553
1.8229,0.02707
1.8274,0.02909
1.837,0.03075
1.8444,0.0326
1.8475,0.03483
1.8456,0.03749
1.8327,0.04113
1.8056,0.04608
1.7839,0.05068
1.766,0.05514
1.7352,0.06096
1.6988,0.06741
1.6622,0.07394
1.6632,0.07658
1.6392,0.08202
1.5526,0.09451
