Cl,Cd
-1.1438,0.08632
-1.1662,0.07941
-1.1892,0.07253
-1.2114,0.0659
-1.2307,0.05963
-1.2461,0.05394
-1.2573,0.04885
-1.2641,0.04452
-1.2668,0.04081
-1.266,0.03772
-1.2747,0.03381
-1.2778,0.03089
-1.2758,0.02874
-1.2707,0.02708
-1.2634,0.02576
-1.255,0.02465
-1.2462,0.0237
-1.2375,0.02291
-1.2303,0.02228
-1.2273,0.02182
-1.2306,0.02102
-1.2282,0.02038
-1.2222,0.01986
-1.2139,0.01942
-1.2025,0.01899
-1.1725,0.01847
-1.1424,0.01795
-1.1136,0.01719
-1.0822,0.0167
-1.0496,0.01628
-1.0196,0.01587
-0.9908,0.01528
-0.9592,0.01487
-0.9262,0.01452
-0.8936,0.01401
-0.8595,0.01359
-0.8243,0.01328
-0.7943,0.01283
-0.7652,0.0125
-0.7337,0.01219
-0.7032,0.01179
-0.6761,0.01154
-0.65,0.0112
-0.6219,0.01093
-0.5975,0.01066
-0.5709,0.01041
-0.5449,0.01016
-0.5186,0.00994
-0.4921,0.00969
-0.4654,0.0095
-0.4387,0.00928
-0.4119,0.00907
-0.3847,0.00891
-0.3577,0.0087
-0.3307,0.00853
-0.3033,0.00836
-0.2486,0.00807
-0.2212,0.00792
-0.194,0.00779
-0.1664,0.00766
-0.1389,0.00755
-0.084,0.00736
-0.0564,0.00727
-0.0291,0.00719
-0.0017,0.00712
0.0259,0.00705
0.0534,0.00699
0.0807,0.00692
0.1077,0.00685
0.1348,0.00678
0.162,0.00669
0.1891,0.00663
0.2162,0.00659
0.243,0.00656
0.2704,0.00652
0.2976,0.0065
0.3244,0.00649
0.3515,0.00649
0.3785,0.00648
0.4052,0.00649
0.4319,0.00651
0.4585,0.00652
0.4846,0.00658
0.537,0.00669
0.5629,0.00679
0.5895,0.0069
0.6167,0.00704
0.6452,0.00719
0.678,0.00734
0.7103,0.00753
0.747,0.00773
0.7834,0.00795
0.8212,0.0082
0.8607,0.00846
0.8965,0.00873
0.9274,0.009
0.9465,0.00922
0.9654,0.00947
0.9842,0.00974
1.0031,0.01003
1.0222,0.01033
1.0414,0.01065
1.0608,0.01098
1.0809,0.01132
1.1013,0.01167
1.1218,0.01205
1.1421,0.01245
1.1831,0.01322
1.2032,0.01362
1.2225,0.01406
1.241,0.01448
1.2586,0.01488
1.2745,0.01538
1.2922,0.01581
1.3082,0.01635
1.3253,0.01684
1.3405,0.01745
1.3573,0.01797
1.3712,0.01868
1.3873,0.01928
1.4017,0.01999
1.4137,0.02088
1.4289,0.02158
1.4419,0.02244
1.452,0.02354
1.4646,0.02449
1.4768,0.0255
1.4868,0.02672
1.4934,0.02824
1.5032,0.02956
1.5131,0.03093
1.5209,0.03251
1.5263,0.03434
1.5279,0.0366
1.5323,0.03869
1.5382,0.04068
1.5424,0.04289
1.5448,0.04537
1.5446,0.04821
1.5406,0.05155
1.5334,0.05538
1.5339,0.05836
1.5323,0.06164
1.529,0.06517
1.5241,0.06897
1.5177,0.07304
1.5093,0.07744
1.4987,0.08216
1.4857,0.08734
