x,y
1.0,0.0
0.99626,0.00044
0.98531,0.00205
0.96786,0.00522
0.94473,0.00994
0.91657,0.01593
0.8838,0.02289
0.84676,0.03078
0.80612,0.03971
0.76278,0.0496
0.71769,0.06015
0.67191,0.07091
0.62652,0.08079
0.58155,0.08816
0.53586,0.09249
0.48909,0.09466
0.44186,0.09515
0.3947,0.09415
0.34815,0.09179
0.30273,0.0882
0.25895,0.08349
0.21727,0.07777
0.17816,0.07118
0.14205,0.06384
0.10934,0.05589
0.08038,0.04747
0.0555,0.03874
0.03497,0.02989
0.01903,0.0211
0.00786,0.01261
0.00163,0.0047
0.0,0.0
0.00031,-0.00183
0.00573,-0.00687
0.01878,-0.01197
0.0379,-0.01805
0.06237,-0.02507
0.09136,-0.03299
0.12403,-0.04145
0.15989,-0.04991
0.1986,-0.05809
0.2396,-0.06584
0.28221,-0.07277
0.32604,-0.07833
0.3709,-0.08224
0.41642,-0.08442
0.46207,-0.08459
0.50762,-0.08229
0.5531,-0.07728
0.59877,-0.06938
0.6453,-0.05915
0.69265,-0.04792
0.74,-0.03683
0.78635,-0.0266
0.83065,-0.01778
0.8718,-0.0107
0.90873,-0.0055
0.94044,-0.00213
0.96603,-0.00036
0.98478,0.00022
0.99618,0.00013
1.0,0.0
