x,y
1.0,0.002515
0.977804,0.001981
0.951108,0.003581
0.93869,0.004906
0.919134,0.007469
0.899577,0.010363
0.88002,0.013359
0.870242,0.01484
0.850685,0.017712
0.831129,0.020444
0.806683,0.023675
0.782238,0.026731
0.757792,0.029638
0.733347,0.032409
0.708901,0.035044
0.684455,0.037536
0.660009,0.039882
0.635564,0.042079
0.611118,0.04413
0.586673,0.046039
0.562228,0.047807
0.537782,0.049435
0.513337,0.05092
0.488892,0.052254
0.464446,0.053431
0.440001,0.054454
0.415556,0.055334
0.39111,0.056099
0.366665,0.056785
0.34222,0.057418
0.317775,0.058003
0.293329,0.058513
0.268884,0.05889
0.244439,0.059059
0.219994,0.058933
0.195549,0.058414
0.171105,0.057387
0.146659,0.055714
0.122215,0.053221
0.092881,0.048797
0.083104,0.046874
0.073326,0.044669
0.063549,0.042132
0.053771,0.039195
0.044972,0.036138
0.039105,0.033839
0.035195,0.032173
0.029328,0.029445
0.022484,0.025845
0.015641,0.021618
0.009775,0.017155
0.007037,0.014584
0.004887,0.012159
0.001759,0.007224
0.000781,0.004747
0.000292,0.002855
0.0,0.0
0.000293,-0.002597
0.000783,-0.004076
0.001761,-0.005787
0.004891,-0.00862
0.007042,-0.009794
0.00978,-0.010912
0.015648,-0.01261
0.022492,-0.014008
0.029337,-0.015091
0.035204,-0.015868
0.039115,-0.016331
0.044982,-0.01696
0.053782,-0.017799
0.063561,-0.018638
0.073339,-0.019419
0.083117,-0.020165
0.092895,-0.020891
0.12223,-0.022991
0.146675,-0.024669
0.171121,-0.026259
0.195567,-0.027717
0.220012,-0.029
0.244457,-0.030072
0.268902,-0.030924
0.293347,-0.031579
0.317792,-0.032083
0.342237,-0.03249
0.366683,-0.032836
0.391128,-0.033124
0.415574,-0.03333
0.440019,-0.033421
0.464464,-0.033369
0.488909,-0.03316
0.513354,-0.032793
0.537798,-0.032274
0.562243,-0.031613
0.586688,-0.030813
0.611133,-0.029876
0.635578,-0.028795
0.660023,-0.027568
0.684467,-0.026193
0.708913,-0.024673
0.733358,-0.023013
0.757802,-0.021218
0.782247,-0.01928
0.806691,-0.017182
0.831136,-0.014896
0.850692,-0.012915
0.870247,-0.010804
0.880025,-0.009715
0.899581,-0.007547
0.919136,-0.005551
0.938692,-0.003929
0.95111,-0.003181
0.977804,-0.00243
1.0,-0.002508
